,Next,Standard,294,Virtual,1,Total Errors,1,,,Manca l'ASIN,Inviato ad Amazon,,Inviato all'assistenza,,,,,
,box,Temporary,16,,,,,,,Manca lo SKU,In waiting,,Scartato,#REF!,,,,
,Box,Box Type,Picked,Shipped,LPN,Brand,Additional Info,Other Info,Product Description,Destination,Verification Request,State (Amz),Reason (Amz),Customer Notes,ASIN,SKU,FNSKU,Notes
,2,Virtual,15/07/2024,,LPNHE833179342,Arizer,,,Arizer Air SE (Bianco scuro) (Senza nicotina),Dispose,,DEFECTIVE,DAMAGED_BY_FC,Bocchino vetro spezzato. L’oggetto non appare essere nuovo o mai usato.,B0CBDVQ5DK,6S-IO8M-QKX2,X002052NT7,
,228,Standard,16/07/2024,16/07/2024,LPNIC097796061,Storz & Bickel,,,MIGHTY Vaporizador,Dispose,,CUSTOMER_DAMAGED,NOT_COMPATIBLE,,B00P2K1UQ6,D9-JK9S-5MYF,X001WJ3KRV,
,3,Virtual,16/07/2024,,LPNHK180078913,Emerio,,,"Emerio FH-106737.2, TESTSIEGER Note 1.5, kleiner kompakter portabler Heizlüfter für 20 m², 2 Heizleistungen + Ventilatorfunktion, verstellbarer The",Dispose,,DEFECTIVE,DEFECTIVE,Heizt nicht mehr.,B09N43LTMW,7333282007959,B09N43LTMW,
,236,Standard,16/07/2024,16/07/2024,LPNHK255236282,Kerbl,,,"Kerbl - Set mit Infrarotstrahlen, 250 W, Reflektorhalterung mit Schutzgitter, Kette zur Befestigung und Kabel 2,5 m",Dispose,,DEFECTIVE,NOT_COMPATIBLE,Noch neu OVP,B093CHJ7QC,MJ-RZWI-NV9N,X001CZZR71,
,236,Standard,16/07/2024,16/07/2024,LPNHE823435101,Urmet,,scatola distrutta,"Urmet 1130/16 Interphone universel pour installations traditionnelles 5 fils 4 + N et 2 fils 1 + N, Blanc",Dispose,,DEFECTIVE,MISSING_PARTS,Il manque le cache bouton à l interphone ( en bas a droite bouton ouverture de porte).  L article n est pas complet. Photos à l appui si besoin,B07D8Z1G2L,QF-N17R-XAZB,X001TL49K9,
,236,Standard,16/07/2024,16/07/2024,LPNHE766498333,Osculati,,tutto sporco,OSCULATI Projecteur Night Eye en Laiton chromé 12 V,Dispose,,DEFECTIVE,DAMAGED_BY_CARRIER,Il manque le support Le filament halogène est coupé,B00OAEGWV8,AJ-YH10-RK8N,X001US15LH,
,236,Standard,16/07/2024,16/07/2024,LPNHE833243845,Kerbl,,c'è solo la lampada,"Kerbl - Kit Lampada a Raggi Infrarossi Riscaldante da 250 W + Riflettore Portalampada con Griglia di Protezione, Catena per Il Fissaggio e Cavo da 2.5m",Dispose,,DEFECTIVE,MISSING_PARTS,Portalampada mancante,B093CHJ7QC,MJ-RZWI-NV9N,X001CZZR71,
,236,Standard,16/07/2024,16/07/2024,LPNRP021629614,Soundmaster,,manca scatola,Soundmaster DAB60WE DAB+ UKW Bluetooth Badradio Steckdosenradio mit Bewegungsmelder und eingebautem Akku,Dispose,,CUSTOMER_DAMAGED,QUALITY_UNACCEPTABLE,,B09779BFMM,OC-7PYA-CBVM,X001V60JSN,
,238,Standard,16/07/2024,16/07/2024,LPNHK104922711,Singer,,spedita a mano senza script,"Singer Nähmaschine 1409 für Anfänger - 15 Nähvorgänge, 4-Stufen-Öse, Stichlängeneinstellung und einstellbare Zick-Zack-Breite, Rückwärtshebel, Freiarm, inklusive Softcover - Singer Nähmaschine",New inventory,,DEFECTIVE,NOT_COMPATIBLE,Für Gardinen ungeeignet.,B008F8C8AE,4F-37Q6-BGEZ,X001ISGBA9,
,238,Standard,16/07/2024,16/07/2024,LPNHK104457533,Singer,,spedita a mano senza script,"Singer Nähmaschine 1409 für Anfänger - 15 Nähvorgänge, 4-Stufen-Öse, Stichlängeneinstellung und einstellbare Zick-Zack-Breite, Rückwärtshebel, Freiarm, inklusive Softcover - Singer Nähmaschine",New inventory,,CUSTOMER_DAMAGED,UNWANTED_ITEM,,B008F8C8AE,4F-37Q6-BGEZ,X001ISGBA9,
,236,Standard,16/07/2024,16/07/2024,LPNHK226557079,Storz & Bickel,,,"Storz & Bickel Mighty Verdampfer, Kompakt",Dispose,,CUSTOMER_DAMAGED,DAMAGED_BY_CARRIER,,B00P2K1UQ6,D9-JK9S-5MYF,X001WJ3KRV,
,236,Standard,16/07/2024,16/07/2024,LPNRP003552144,Tecnocamp,,manca scatola,"Sporlastic FOOT-UP Fußheberorthese Gr.1 schwarz 07810, 500 g",Dispose,,CUSTOMER_DAMAGED,SWITCHEROO,,B002KKG87W,EX-TEGV-CCB0,X001WP34PD,
,236,Standard,16/07/2024,16/07/2024,LPNHK182629394,Osculati,,manca scatola,"Osculati Rückschlagventil, Schlauch:25/32/38mm",Dispose,,DEFECTIVE,QUALITY_UNACCEPTABLE,Das Rückschlagventil ist undicht sodass es zum Rückfluss kommt.,B00TL8XUJA,BH-5VLI-5EJZ,X001TOVHO7,
,236,Standard,16/07/2024,16/07/2024,LPNRP003700102,Tecnocamp,,manca scatola,"Sporlastic FOOT-UP Fußheberorthese Gr.1 schwarz 07810, 500 g",Dispose,,CUSTOMER_DAMAGED,SWITCHEROO,,B002KKG87W,EX-TEGV-CCB0,X001WP34PD,
